,id,title,release_date,vote_average,vote_count,popularity
221,280,Terminator 2: Judgment Day,1991-07-03,8.1,11398,64.8
222,103663,The Hunt,2012-10-25,8.1,3616,18.654
223,7345,There Will Be Blood,2007-12-26,8.1,5734,20.958
224,46738,Incendies,2010-09-04,8.1,2230,15.025
225,638507,How to Train Your Dragon: Homecoming,2019-10-25,8.1,815,37.869
226,359940,"Three Billboards Outside Ebbing, Missouri",2017-12-01,8.1,9225,20.849
227,334543,Lion,2016-11-24,8.1,6078,17.49
228,62,2001: A Space Odyssey,1968-04-02,8.1,10270,38.141
229,146233,Prisoners,2013-09-18,8.1,10400,53.892
230,4348,Pride & Prejudice,2005-09-16,8.1,7159,39.152
231,406,La Haine,1995-05-31,8.1,3464,16.698
232,529531,Hannah Gadsby: Nanette,2018-06-19,8.1,250,4.992
233,387,Das Boot,1981-09-17,8.1,1916,21.3
234,571265,Digimon Adventure: Last Evolution Kizuna,2020-02-21,8.1,212,17.924
235,10681,WALL·E,2008-06-22,8.1,17074,50.918
236,337404,Cruella,2021-05-26,8.1,8238,95.014
237,458220,Palmer,2021-01-29,8.1,1119,124.205
238,8422,Rocco and His Brothers,1960-10-06,8.1,485,11.025
239,147,The 400 Blows,1959-06-03,8.1,1865,11.822
240,11645,Ran,1985-06-01,8.1,1300,14.064
241,8392,My Neighbor Totoro,1988-04-16,8.1,6890,41.785
242,610461,"Veinteañera, Divorciada y Fantástica",2020-02-14,8.1,372,5.764
243,893941,Misfit,2021-10-14,8.1,208,7.427
244,7347,Elite Squad,2007-10-12,8.1,2058,30.471
245,11423,Memories of Murder,2003-05-02,8.1,3200,29.727
246,42229,A Special Day,1977-08-11,8.1,569,8.801
247,437068,A Taxi Driver,2017-08-02,8.1,788,22.69
248,11659,The Best of Youth,2003-06-22,8.1,465,10.79
249,1955,The Elephant Man,1980-10-09,8.1,3048,16.277
250,678580,El mesero,2021-07-15,8.1,339,11.766
251,381284,Hidden Figures,2016-12-10,8.1,8693,115.585
252,55960,"Toto, Peppino, and the Hussy",1956-08-23,8.1,309,6.831
253,800,The Young and the Damned,1950-12-09,8.1,414,8.795
254,118662,Decalogue I,1989-09-05,8.1,203,4.147
255,663558,New Gods: Nezha Reborn,2021-02-06,8.1,356,23.346
256,538362,On My Skin,2018-09-12,8.1,1786,8.882
257,120467,The Grand Budapest Hotel,2014-02-26,8.1,13450,30.443
258,26022,My Name Is Khan,2010-02-10,8.1,1155,28.656
259,449176,"Love, Simon",2018-02-16,8.1,5668,17.307
260,515001,Jojo Rabbit,2019-10-18,8.1,8470,27.23
261,821,Judgment at Nuremberg,1961-12-18,8.1,655,14.492
262,400928,Gifted,2017-04-12,8.0,4835,53.268
263,310569,The Second Mother,2015-06-04,8.0,659,8.112
264,5801,Pather Panchali,1955-08-26,8.0,333,11.115
265,9764,Dersu Uzala,1975-08-02,8.0,437,10.361
266,785534,Paper Lives,2021-03-12,8.0,316,11.671
267,615457,Nobody,2021-03-18,8.0,5912,64.079
268,780,The Passion of Joan of Arc,1928-04-21,8.0,786,12.597
269,282848,Doctor Who: The Time of the Doctor,2013-12-25,8.0,262,6.722
270,522518,A Dog's Journey,2019-05-03,8.0,1309,24.646
271,1091,The Thing,1982-06-25,8.0,6033,40.946
272,582,The Lives of Others,2006-03-15,8.0,3228,14.359
273,279,Amadeus,1984-09-19,8.0,3713,20.81
274,106646,The Wolf of Wall Street,2013-12-25,8.0,21684,91.173
275,339877,Loving Vincent,2017-06-22,8.0,2251,13.783
276,115929,Cool Kids Don't Cry,2012-02-15,8.0,243,10.722
277,264644,Room,2015-10-16,8.0,8535,16.16
278,20530,Late Spring,1949-09-13,8.0,327,11.314
279,51482,Death Note Relight 1: Visions of a God,2007-08-31,8.0,245,25.0
280,641,Requiem for a Dream,2000-10-06,8.0,8922,11.223
281,574074,Kitbull,2019-01-18,8.0,307,6.213
282,455661,In a Heartbeat,2017-06-01,8.0,945,5.54
283,19426,Nights of Cabiria,1957-10-03,8.0,653,8.88
284,204,The Wages of Fear,1953-04-22,8.0,760,9.384
285,14,American Beauty,1999-09-15,8.0,11021,26.484
286,429210,Bingo: The King of the Mornings,2017-08-24,8.0,342,6.68
287,521,Dial M for Murder,1954-05-29,8.0,2254,18.66
288,9277,The Sting,1973-12-25,8.0,2252,17.45
289,962,The Gold Rush,1925-07-12,8.0,1373,15.068
290,673,Harry Potter and the Prisoner of Azkaban,2004-05-31,8.0,19582,107.304
291,19542,The Red Shoes,1948-09-06,8.0,534,9.238
292,938,For a Few Dollars More,1965-12-18,8.0,3454,22.927
293,1396,Mirror,1975-03-07,8.0,797,10.96
294,28978,The Circus,1928-01-06,8.0,683,6.882
295,11104,Chungking Express,1994-07-14,8.0,1445,25.282
296,15,Citizen Kane,1941-04-17,8.0,4883,23.712
297,37793,Ghosts,1997-09-04,8.0,215,5.186
298,524,Casino,1995-11-22,8.0,5071,25.533
299,307,"Rome, Open City",1945-10-08,8.0,757,10.253
300,785084,The Whale,2022-12-09,8.0,2435,193.218
301,568160,Weathering with You,2019-06-19,8.0,1863,32.725
302,378108,In This Corner of the World,2016-11-12,8.0,496,17.296
303,110416,Song of the Sea,2014-09-06,8.0,1247,11.554
304,315465,The Boy and the Beast,2015-07-11,8.0,1326,23.805
305,12761,Autumn Sonata,1978-10-08,8.0,488,12.7
306,3175,Barry Lyndon,1975-11-26,8.0,2460,16.305
307,595,To Kill a Mockingbird,1962-12-20,8.0,2291,15.654
308,359724,Ford v Ferrari,2019-11-13,8.0,6675,42.69
309,205596,The Imitation Game,2014-11-14,8.0,15649,66.432
310,28178,Hachi: A Dog's Tale,2009-06-08,8.0,6130,35.346
311,714888,"Argentina, 1985",2022-09-29,8.0,460,22.569
312,11778,The Deer Hunter,1978-03-09,8.0,3283,17.475
313,652722,In the Arms of an Assassin,2019-12-06,8.0,338,22.854
314,554596,No Manches Frida 2,2019-03-15,8.0,780,55.761
315,634649,Spider-Man: No Way Home,2021-12-15,8.0,17527,445.794
316,424694,Bohemian Rhapsody,2018-10-24,8.0,15717,38.411
317,140420,Paperman,2012-11-02,8.0,1587,10.286
318,285700,The Fool,2014-08-09,8.0,227,6.204
319,13223,Gran Torino,2008-12-09,8.0,9778,18.331
320,58007,Poverty and Nobility,1954-04-17,8.0,260,7.379
321,961,The General,1926-12-25,8.0,1052,12.468
322,31439,To Live,1994-05-26,8.0,247,10.614
323,28422,Love Exposure,2009-01-31,8.0,370,9.757
324,3090,The Treasure of the Sierra Madre,1948-01-15,8.0,1023,12.796
325,488623,Forgotten,2017-11-29,8.0,852,24.414
326,426618,Where Hands Touch,2018-09-14,8.0,480,14.264
327,25376,The Secret in Their Eyes,2009-08-13,8.0,2228,15.99
328,962232,Beyond the Universe,2022-10-27,8.0,239,28.387
329,18438,Castaway on the Moon,2009-05-14,8.0,593,10.406
330,482321,Ron's Gone Wrong,2021-10-14,8.0,1588,55.055
331,12104,Pink Floyd: The Wall,1982-07-14,8.0,1319,14.035
332,213,North by Northwest,1959-07-08,8.0,3617,23.23
333,560066,Scooby-Doo! and the Curse of the 13th Ghost,2019-02-05,8.0,222,12.089
334,23282,One Week,1920-08-29,8.0,222,5.526
335,776503,CODA,2021-08-11,8.0,1835,23.282
336,530915,1917,2019-12-25,8.0,11088,36.38
337,15244,A Man Escaped,1956-11-11,8.0,439,8.591
338,29264,The Exterminating Angel,1962-05-16,8.0,571,8.018
339,14696,Ugetsu,1953-03-26,8.0,477,8.785
340,43949,Flipped,2010-08-06,8.0,2587,31.213
341,20453,3 Idiots,2009-12-23,8.0,2084,29.942
342,550205,Wish Dragon,2021-01-15,8.0,1107,48.252
343,45752,Scooby-Doo! Camp Scare,2010-09-14,8.0,258,14.748
344,947,Lawrence of Arabia,1962-12-11,8.0,2593,22.522
345,15383,Army of Shadows,1969-09-10,8.0,541,8.677
346,11658,Tae Guk Gi: The Brotherhood of War,2004-02-05,8.0,581,13.687
347,2517,Nobody Knows,2004-08-07,8.0,413,20.409
348,897,Aparajito,1956-10-11,8.0,202,8.115
349,10238,Cries and Whispers,1972-12-21,8.0,596,12.456
350,7508,Like Stars on Earth,2007-12-21,8.0,992,14.997
351,1059,The Hidden Fortress,1958-12-28,8.0,515,11.969
352,242828,When Marnie Was There,2014-07-19,8.0,1571,23.155
353,76,Before Sunrise,1995-01-27,8.0,3584,20.894
354,770,Gone with the Wind,1939-12-15,8.0,3596,28.88
355,237791,The Way He Looks,2014-03-28,8.0,874,8.338
356,20803,Ivan Vasilyevich Changes His Profession,1973-09-17,8.0,290,9.5
357,627,Trainspotting,1996-02-23,8.0,8824,21.201
358,1578,Raging Bull,1980-11-14,8.0,3759,14.219
359,24,Kill Bill: Vol. 1,2003-10-10,8.0,15856,35.224
